#data counter step time
0 1 4 1290
0 2 7 3497
0 3 10 3985
0 4 13 5238
0 5 16 5556
0 6 18 5574
132 7 21 5727
0 8 25 6051
0 9 28 6304
0 10 30 6455
0 11 34 7126
0 12 36 7163
0 13 40 8596
0 14 42 8680
0 15 46 10112
0 16 49 11243
0 17 52 11988
0 18 55 12236
0 19 58 12784
0 20 61 13230
0 21 63 13255
0 22 67 14615
0 23 69 14625
0 24 73 14819
0 25 76 15158
0 26 78 15230
0 27 82 17123
0 28 85 20567
0 29 88 22218
0 30 91 22677
0 31 94 24252
0 32 96 24425
0 33 100 25414
0 34 102 25555
0 35 106 27160
0 36 109 27354
0 37 111 27493
0 38 115 28274
0 39 118 28577
0 40 121 28894
0 41 124 29327
0 42 127 30726
0 43 130 31511
0 44 133 32191
0 45 135 32265
0 46 139 32826
0 47 142 33158
0 48 145 33891
0 49 148 34483
0 50 151 34948
0 51 153 35068
0 52 157 35578
0 53 160 36103
0 54 163 36384
0 55 166 36977
0 56 169 37239
0 57 171 37270
102 58 174 37421
0 59 178 38319
0 60 180 38328
0 61 184 39342
0 62 187 39570
0 63 189 39644
0 64 193 40784
0 65 196 41138
0 66 199 42710
0 67 202 44532
0 68 205 45101
0 69 207 45176
54 70 210 45285
0 71 214 45704
0 72 216 45828
43 73 219 45883
0 74 223 46069
0 75 226 47881
0 76 228 47887
0 77 232 48364
0 78 235 48685
0 79 238 49133
0 80 240 49138
87 81 243 49313
0 82 247 50032
0 83 249 50121
0 84 253 51580
0 85 256 52369
0 86 259 52643
0 87 262 52995
0 88 265 54855
0 89 267 54884
0 90 270 55050
0 91 274 55528
0 92 277 55965
0 93 279 56038
0 94 283 56491
0 95 285 56599
0 96 288 56694
0 97 292 58697
0 98 295 59961
0 99 298 60321
0 100 301 61443
