#data counter step time
0 1 0 0
1 2 3 1290
0 3 4 1290
1 4 6 3497
0 5 7 3497
1 6 9 3985
0 7 10 3985
1 8 12 5238
0 9 13 5238
1 10 15 5556
0 11 16 5556
1 12 17 5574
0 13 18 5574
1 14 19 5595
0 15 21 5727
1 16 24 6051
0 17 25 6051
1 18 27 6304
0 19 28 6304
1 20 29 6455
0 21 30 6455
1 22 33 7126
0 23 34 7126
1 24 35 7163
0 25 36 7163
1 26 39 8596
0 27 40 8596
1 28 41 8680
0 29 42 8680
1 30 45 10112
0 31 46 10112
1 32 48 11243
0 33 49 11243
1 34 51 11988
0 35 52 11988
1 36 54 12236
0 37 55 12236
1 38 57 12784
0 39 58 12784
1 40 60 13230
0 41 61 13230
1 42 62 13255
0 43 63 13255
1 44 66 14615
0 45 67 14615
1 46 68 14625
0 47 69 14625
1 48 72 14819
0 49 73 14819
1 50 75 15158
0 51 76 15158
1 52 77 15230
0 53 78 15230
1 54 81 17123
0 55 82 17123
1 56 84 20567
0 57 85 20567
1 58 87 22218
0 59 88 22218
1 60 90 22677
0 61 91 22677
1 62 93 24252
0 63 94 24252
1 64 95 24425
0 65 96 24425
1 66 99 25414
0 67 100 25414
1 68 101 25555
0 69 102 25555
1 70 105 27160
0 71 106 27160
1 72 108 27354
0 73 109 27354
1 74 110 27493
0 75 111 27493
1 76 114 28274
0 77 115 28274
1 78 117 28577
0 79 118 28577
1 80 120 28894
0 81 121 28894
1 82 123 29327
0 83 124 29327
1 84 126 30726
0 85 127 30726
1 86 129 31511
0 87 130 31511
1 88 132 32191
0 89 133 32191
1 90 134 32265
0 91 135 32265
1 92 138 32826
0 93 139 32826
1 94 141 33158
0 95 142 33158
1 96 144 33891
0 97 145 33891
1 98 147 34483
0 99 148 34483
1 100 150 34948
0 101 151 34948
1 102 152 35068
0 103 153 35068
1 104 156 35578
0 105 157 35578
1 106 159 36103
0 107 160 36103
1 108 162 36384
0 109 163 36384
1 110 165 36977
0 111 166 36977
1 112 168 37239
0 113 169 37239
1 114 170 37270
0 115 171 37270
1 116 172 37319
0 117 174 37421
1 118 177 38319
0 119 178 38319
1 120 179 38328
0 121 180 38328
1 122 183 39342
0 123 184 39342
1 124 186 39570
0 125 187 39570
1 126 188 39644
0 127 189 39644
1 128 192 40784
0 129 193 40784
1 130 195 41138
0 131 196 41138
1 132 198 42710
0 133 199 42710
1 134 201 44532
0 135 202 44532
1 136 204 45101
0 137 205 45101
1 138 206 45176
0 139 207 45176
1 140 208 45231
0 141 210 45285
1 142 213 45704
0 143 214 45704
1 144 215 45828
0 145 216 45828
1 146 217 45840
0 147 219 45883
1 148 222 46069
0 149 223 46069
1 150 225 47881
0 151 226 47881
1 152 227 47887
0 153 228 47887
1 154 231 48364
0 155 232 48364
1 156 234 48685
0 157 235 48685
1 158 237 49133
0 159 238 49133
1 160 239 49138
0 161 240 49138
1 162 241 49226
0 163 243 49313
1 164 246 50032
0 165 247 50032
1 166 248 50121
0 167 249 50121
1 168 252 51580
0 169 253 51580
1 170 255 52369
0 171 256 52369
1 172 258 52643
0 173 259 52643
1 174 261 52995
0 175 262 52995
1 176 264 54855
0 177 265 54855
1 178 266 54884
0 179 267 54884
1 180 269 55050
0 181 270 55050
1 182 273 55528
0 183 274 55528
1 184 276 55965
0 185 277 55965
1 186 278 56038
0 187 279 56038
1 188 282 56491
0 189 283 56491
1 190 284 56599
0 191 285 56599
1 192 287 56694
0 193 288 56694
1 194 291 58697
0 195 292 58697
1 196 294 59961
0 197 295 59961
1 198 297 60321
0 199 298 60321
1 200 300 61443
0 201 301 61443
0 202 301 61443
