#data counter step time
0 1 0 0
1 2 3 1057
0 3 4 1057
1 4 6 2306
0 5 7 2306
1 6 9 3468
0 7 10 3468
1 8 12 3995
0 9 13 3995
1 10 14 4160
0 11 15 4160
1 12 18 4940
0 13 19 4940
1 14 21 5812
0 15 22 5812
1 16 24 6533
0 17 25 6533
1 18 27 7305
0 19 28 7305
1 20 30 8183
0 21 31 8183
1 22 32 8235
0 23 33 8235
1 24 36 8688
0 25 37 8688
1 26 39 9565
0 27 40 9565
1 28 42 9769
0 29 43 9769
1 30 44 9904
0 31 45 9904
1 32 48 10124
0 33 49 10124
1 34 50 10257
0 35 51 10257
1 36 53 10411
0 37 54 10411
1 38 55 10418
0 39 57 10447
1 40 58 10510
0 41 60 10588
1 42 63 10959
0 43 64 10959
1 44 65 11057
0 45 66 11057
1 46 69 12423
0 47 70 12423
1 48 72 12819
0 49 73 12819
1 50 75 14143
0 51 76 14143
1 52 78 14853
0 53 79 14853
1 54 81 15235
0 55 82 15235
1 56 83 15415
0 57 84 15415
1 58 87 18033
0 59 88 18033
1 60 90 20593
0 61 91 20593
1 62 92 20703
0 63 93 20703
1 64 96 21692
0 65 97 21692
1 66 98 21705
0 67 99 21705
1 68 100 21816
2 69 101 21873
1 70 103 21881
0 71 105 21884
1 72 106 21979
0 73 108 22061
1 74 111 23511
0 75 112 23511
1 76 114 23707
0 77 115 23707
1 78 116 23806
0 79 117 23806
1 80 120 24145
0 81 121 24145
1 82 123 25761
0 83 124 25761
1 84 125 25784
0 85 126 25784
1 86 129 27716
0 87 130 27716
1 88 131 27828
0 89 132 27828
1 90 134 28007
0 91 135 28007
1 92 138 28610
0 93 139 28610
1 94 140 28719
0 95 141 28719
1 96 144 29663
0 97 145 29663
1 98 146 29826
0 99 147 29826
1 100 149 29990
0 101 150 29990
1 102 153 30957
0 103 154 30957
1 104 156 32172
0 105 157 32172
1 106 159 32603
0 107 160 32603
1 108 162 35440
0 109 163 35440
1 110 165 35669
0 111 166 35669
1 112 168 37988
0 113 169 37988
1 114 171 39096
0 115 172 39096
1 116 173 39209
0 117 174 39209
1 118 176 39340
0 119 177 39340
1 120 180 39646
0 121 181 39646
1 122 183 39854
0 123 184 39854
1 124 185 39862
0 125 186 39862
1 126 189 41780
0 127 190 41780
1 128 191 41850
0 129 192 41850
1 130 195 42572
0 131 196 42572
1 132 198 43077
0 133 199 43077
1 134 201 43386
0 135 202 43386
1 136 204 45096
0 137 205 45096
1 138 207 45354
0 139 208 45354
1 140 210 46013
0 141 211 46013
1 142 213 46989
0 143 214 46989
1 144 216 48824
0 145 217 48824
1 146 219 49374
0 147 220 49374
1 148 221 49400
0 149 222 49400
1 150 225 49603
0 151 226 49603
1 152 227 49662
0 153 228 49662
1 154 231 50087
0 155 232 50087
1 156 234 50513
0 157 235 50513
1 158 237 51024
0 159 238 51024
1 160 240 52461
0 161 241 52461
1 162 243 54681
0 163 244 54681
1 164 246 55018
0 165 247 55018
1 166 249 55377
0 167 250 55377
1 168 252 57395
0 169 253 57395
1 170 255 58396
0 171 256 58396
1 172 257 58424
0 173 258 58424
1 174 261 58880
0 175 262 58880
1 176 263 59052
0 177 264 59052
1 178 267 59234
0 179 268 59234
1 180 269 59312
0 181 270 59312
1 182 273 60302
0 183 274 60302
1 184 276 60958
0 185 277 60958
1 186 278 61053
0 187 279 61053
1 188 282 62018
0 189 283 62018
1 190 285 62512
0 191 286 62512
1 192 288 63138
0 193 289 63138
1 194 290 63284
0 195 291 63284
1 196 294 63998
0 197 295 63998
1 198 296 64015
0 199 297 64015
1 200 300 65029
0 201 301 65029
0 202 301 65029
