#data counter step time
0 1 4 1057
0 2 7 2306
0 3 10 3468
0 4 13 3995
0 5 15 4160
0 6 19 4940
0 7 22 5812
0 8 25 6533
0 9 28 7305
0 10 31 8183
0 11 33 8235
0 12 37 8688
0 13 40 9565
0 14 43 9769
0 15 45 9904
0 16 49 10124
0 17 51 10257
0 18 54 10411
29 19 57 10447
78 20 60 10588
0 21 64 10959
0 22 66 11057
0 23 70 12423
0 24 73 12819
0 25 76 14143
0 26 79 14853
0 27 82 15235
0 28 84 15415
0 29 88 18033
0 30 91 20593
0 31 93 20703
0 32 97 21692
0 33 99 21705
65 34 103 21881
11 35 105 21884
82 36 108 22061
0 37 112 23511
0 38 115 23707
0 39 117 23806
0 40 121 24145
0 41 124 25761
0 42 126 25784
0 43 130 27716
0 44 132 27828
0 45 135 28007
0 46 139 28610
0 47 141 28719
0 48 145 29663
0 49 147 29826
0 50 150 29990
0 51 154 30957
0 52 157 32172
0 53 160 32603
0 54 163 35440
0 55 166 35669
0 56 169 37988
0 57 172 39096
0 58 174 39209
0 59 177 39340
0 60 181 39646
0 61 184 39854
0 62 186 39862
0 63 190 41780
0 64 192 41850
0 65 196 42572
0 66 199 43077
0 67 202 43386
0 68 205 45096
0 69 208 45354
0 70 211 46013
0 71 214 46989
0 72 217 48824
0 73 220 49374
0 74 222 49400
0 75 226 49603
0 76 228 49662
0 77 232 50087
0 78 235 50513
0 79 238 51024
0 80 241 52461
0 81 244 54681
0 82 247 55018
0 83 250 55377
0 84 253 57395
0 85 256 58396
0 86 258 58424
0 87 262 58880
0 88 264 59052
0 89 268 59234
0 90 270 59312
0 91 274 60302
0 92 277 60958
0 93 279 61053
0 94 283 62018
0 95 286 62512
0 96 289 63138
0 97 291 63284
0 98 295 63998
0 99 297 64015
0 100 301 65029
