#data counter step time
0 1 0 0
1 2 3 586
0 3 4 586
1 4 6 1271
0 5 7 1271
1 6 9 1754
0 7 10 1754
1 8 12 2004
0 9 13 2004
1 10 15 4257
0 11 16 4257
1 12 18 5605
0 13 19 5605
1 14 21 5873
0 15 22 5873
1 16 24 6129
0 17 25 6129
1 18 26 6221
0 19 27 6221
1 20 30 6468
0 21 31 6468
1 22 33 7245
0 23 34 7245
1 24 36 9834
0 25 37 9834
1 26 38 10008
0 27 39 10008
1 28 41 10159
0 29 42 10159
1 30 45 11355
0 31 46 11355
1 32 48 12398
0 33 49 12398
1 34 51 12741
0 35 52 12741
1 36 54 13666
0 37 55 13666
1 38 57 14103
0 39 58 14103
1 40 60 14719
0 41 61 14719
1 42 63 16384
0 43 64 16384
1 44 66 17294
0 45 67 17294
1 46 69 18050
0 47 70 18050
1 48 72 19416
0 49 73 19416
1 50 75 20780
0 51 76 20780
1 52 78 21034
0 53 79 21034
1 54 81 21572
0 55 82 21572
1 56 84 23740
0 57 85 23740
1 58 87 25293
0 59 88 25293
1 60 89 25364
0 61 90 25364
1 62 93 25931
0 63 94 25931
1 64 95 26047
0 65 96 26047
1 66 99 26665
0 67 100 26665
1 68 102 27413
0 69 103 27413
1 70 105 30256
0 71 106 30256
1 72 108 31192
0 73 109 31192
1 74 111 32954
0 75 112 32954
1 76 113 32970
0 77 114 32970
1 78 115 33122
0 79 117 33125
1 80 120 33734
0 81 121 33734
1 82 123 34114
0 83 124 34114
1 84 126 37596
0 85 127 37596
1 86 129 37802
0 87 130 37802
1 88 132 38154
0 89 133 38154
1 90 135 41243
0 91 136 41243
1 92 138 41576
0 93 139 41576
1 94 141 42043
0 95 142 42043
1 96 144 42970
0 97 145 42970
1 98 147 43282
0 99 148 43282
1 100 149 43399
0 101 150 43399
1 102 152 43503
0 103 153 43503
1 104 156 44283
0 105 157 44283
1 106 158 44334
0 107 159 44334
1 108 160 44376
0 109 162 44473
1 110 165 46026
0 111 166 46026
1 112 168 47074
0 113 169 47074
1 114 171 49148
0 115 172 49148
1 116 174 49815
0 117 175 49815
1 118 177 50556
0 119 178 50556
1 120 180 51056
0 121 181 51056
1 122 182 51094
0 123 183 51094
1 124 186 51967
0 125 187 51967
1 126 188 52022
0 127 189 52022
1 128 192 52269
0 129 193 52269
1 130 194 52288
0 131 195 52288
1 132 198 55330
0 133 199 55330
1 134 201 55642
0 135 202 55642
1 136 204 55903
0 137 205 55903
1 138 207 57605
0 139 208 57605
1 140 210 58679
0 141 211 58679
1 142 212 58849
0 143 213 58849
1 144 216 59105
0 145 217 59105
1 146 219 59328
0 147 220 59328
1 148 221 59434
0 149 222 59434
1 150 225 60273
0 151 226 60273
1 152 228 61201
0 153 229 61201
1 154 230 61284
0 155 231 61284
1 156 232 61303
0 157 234 61390
1 158 237 62072
0 159 238 62072
1 160 239 62163
0 161 240 62163
1 162 243 64375
0 163 244 64375
1 164 245 64543
0 165 246 64543
1 166 249 65003
0 167 250 65003
1 168 252 67123
0 169 253 67123
1 170 254 67266
0 171 255 67266
1 172 258 69432
0 173 259 69432
1 174 261 69888
0 175 262 69888
1 176 264 70152
0 177 265 70152
1 178 267 71603
0 179 268 71603
1 180 270 72461
0 181 271 72461
1 182 273 72685
0 183 274 72685
1 184 276 73208
0 185 277 73208
1 186 279 73678
0 187 280 73678
1 188 282 74817
0 189 283 74817
1 190 284 74943
0 191 285 74943
1 192 287 75099
0 193 288 75099
1 194 290 75217
0 195 291 75217
1 196 292 75250
0 197 294 75269
1 198 297 75931
0 199 298 75931
1 200 300 78965
0 201 301 78965
0 202 301 78965
