#data counter step time
0 1 4 586
0 2 7 1271
0 3 10 1754
0 4 13 2004
0 5 16 4257
0 6 19 5605
0 7 22 5873
0 8 25 6129
0 9 27 6221
0 10 31 6468
0 11 34 7245
0 12 37 9834
0 13 39 10008
0 14 42 10159
0 15 46 11355
0 16 49 12398
0 17 52 12741
0 18 55 13666
0 19 58 14103
0 20 61 14719
0 21 64 16384
0 22 67 17294
0 23 70 18050
0 24 73 19416
0 25 76 20780
0 26 79 21034
0 27 82 21572
0 28 85 23740
0 29 88 25293
0 30 90 25364
0 31 94 25931
0 32 96 26047
0 33 100 26665
0 34 103 27413
0 35 106 30256
0 36 109 31192
0 37 112 32954
0 38 114 32970
3 39 117 33125
0 40 121 33734
0 41 124 34114
0 42 127 37596
0 43 130 37802
0 44 133 38154
0 45 136 41243
0 46 139 41576
0 47 142 42043
0 48 145 42970
0 49 148 43282
0 50 150 43399
0 51 153 43503
0 52 157 44283
0 53 159 44334
97 54 162 44473
0 55 166 46026
0 56 169 47074
0 57 172 49148
0 58 175 49815
0 59 178 50556
0 60 181 51056
0 61 183 51094
0 62 187 51967
0 63 189 52022
0 64 193 52269
0 65 195 52288
0 66 199 55330
0 67 202 55642
0 68 205 55903
0 69 208 57605
0 70 211 58679
0 71 213 58849
0 72 217 59105
0 73 220 59328
0 74 222 59434
0 75 226 60273
0 76 229 61201
0 77 231 61284
87 78 234 61390
0 79 238 62072
0 80 240 62163
0 81 244 64375
0 82 246 64543
0 83 250 65003
0 84 253 67123
0 85 255 67266
0 86 259 69432
0 87 262 69888
0 88 265 70152
0 89 268 71603
0 90 271 72461
0 91 274 72685
0 92 277 73208
0 93 280 73678
0 94 283 74817
0 95 285 74943
0 96 288 75099
0 97 291 75217
19 98 294 75269
0 99 298 75931
0 100 301 78965
