#data counter step time
0 1 4 317
0 2 7 567
0 3 10 2138
0 4 13 3503
0 5 16 4063
0 6 19 4380
0 7 22 4815
0 8 25 5919
0 9 28 7896
0 10 31 8418
0 11 34 8654
0 12 37 9557
0 13 40 10452
0 14 42 10486
92 15 45 10623
13 16 48 10657
0 17 52 11125
0 18 55 12241
0 19 58 12543
0 20 61 14891
0 21 64 15187
0 22 67 16497
0 23 70 17227
0 24 73 18114
0 25 75 18221
0 26 79 18986
0 27 82 19638
0 28 85 19951
0 29 88 20656
0 30 91 21131
0 31 94 21684
0 32 97 22828
0 33 99 22950
0 34 103 23336
0 35 106 23945
0 36 109 24203
0 37 112 25219
0 38 115 26447
0 39 118 27301
0 40 121 28155
0 41 124 29475
0 42 126 29625
0 43 130 30407
0 44 133 31450
0 45 136 31935
0 46 139 32224
0 47 142 32622
0 48 145 34004
0 49 147 34083
0 50 151 34714
0 51 153 34755
0 52 157 35020
0 53 160 35330
0 54 163 35866
0 55 165 35893
0 56 168 36067
0 57 171 36184
0 58 175 36762
0 59 178 37094
0 60 180 37100
46 61 183 37282
0 62 187 38140
0 63 190 41986
0 64 193 42256
0 65 196 42645
0 66 198 42757
0 67 202 42998
0 68 205 43441
0 69 207 43580
0 70 211 43794
0 71 214 44049
0 72 217 45586
0 73 219 45612
0 74 223 46398
0 75 226 46752
0 76 228 46918
0 77 232 47301
0 78 235 48547
0 79 237 48664
0 80 241 49091
0 81 244 49385
0 82 247 50973
0 83 250 52659
0 84 253 52928
0 85 256 54006
0 86 258 54134
0 87 262 54810
0 88 264 54818
0 89 268 56094
0 90 271 56299
0 91 274 56526
0 92 276 56560
0 93 280 58390
0 94 282 58481
0 95 286 58695
0 96 289 59089
0 97 292 59524
0 98 295 59742
0 99 297 59839
0 100 301 60783
