#data counter step time
0 1 0 0
1 2 3 317
0 3 4 317
1 4 6 567
0 5 7 567
1 6 9 2138
0 7 10 2138
1 8 12 3503
0 9 13 3503
1 10 15 4063
0 11 16 4063
1 12 18 4380
0 13 19 4380
1 14 21 4815
0 15 22 4815
1 16 24 5919
0 17 25 5919
1 18 27 7896
0 19 28 7896
1 20 30 8418
0 21 31 8418
1 22 33 8654
0 23 34 8654
1 24 36 9557
0 25 37 9557
1 26 39 10452
0 27 40 10452
1 28 41 10486
0 29 42 10486
1 30 43 10531
0 31 45 10623
1 32 46 10644
0 33 48 10657
1 34 51 11125
0 35 52 11125
1 36 54 12241
0 37 55 12241
1 38 57 12543
0 39 58 12543
1 40 60 14891
0 41 61 14891
1 42 63 15187
0 43 64 15187
1 44 66 16497
0 45 67 16497
1 46 69 17227
0 47 70 17227
1 48 72 18114
0 49 73 18114
1 50 74 18221
0 51 75 18221
1 52 78 18986
0 53 79 18986
1 54 81 19638
0 55 82 19638
1 56 84 19951
0 57 85 19951
1 58 87 20656
0 59 88 20656
1 60 90 21131
0 61 91 21131
1 62 93 21684
0 63 94 21684
1 64 96 22828
0 65 97 22828
1 66 98 22950
0 67 99 22950
1 68 102 23336
0 69 103 23336
1 70 105 23945
0 71 106 23945
1 72 108 24203
0 73 109 24203
1 74 111 25219
0 75 112 25219
1 76 114 26447
0 77 115 26447
1 78 117 27301
0 79 118 27301
1 80 120 28155
0 81 121 28155
1 82 123 29475
0 83 124 29475
1 84 125 29625
0 85 126 29625
1 86 129 30407
0 87 130 30407
1 88 132 31450
0 89 133 31450
1 90 135 31935
0 91 136 31935
1 92 138 32224
0 93 139 32224
1 94 141 32622
0 95 142 32622
1 96 144 34004
0 97 145 34004
1 98 146 34083
0 99 147 34083
1 100 150 34714
0 101 151 34714
1 102 152 34755
0 103 153 34755
1 104 156 35020
0 105 157 35020
1 106 159 35330
0 107 160 35330
1 108 162 35866
0 109 163 35866
1 110 164 35893
0 111 165 35893
1 112 167 36067
0 113 168 36067
1 114 170 36184
0 115 171 36184
1 116 174 36762
0 117 175 36762
1 118 177 37094
0 119 178 37094
1 120 179 37100
0 121 180 37100
1 122 181 37236
0 123 183 37282
1 124 186 38140
0 125 187 38140
1 126 189 41986
0 127 190 41986
1 128 192 42256
0 129 193 42256
1 130 195 42645
0 131 196 42645
1 132 197 42757
0 133 198 42757
1 134 201 42998
0 135 202 42998
1 136 204 43441
0 137 205 43441
1 138 206 43580
0 139 207 43580
1 140 210 43794
0 141 211 43794
1 142 213 44049
0 143 214 44049
1 144 216 45586
0 145 217 45586
1 146 218 45612
0 147 219 45612
1 148 222 46398
0 149 223 46398
1 150 225 46752
0 151 226 46752
1 152 227 46918
0 153 228 46918
1 154 231 47301
0 155 232 47301
1 156 234 48547
0 157 235 48547
1 158 236 48664
0 159 237 48664
1 160 240 49091
0 161 241 49091
1 162 243 49385
0 163 244 49385
1 164 246 50973
0 165 247 50973
1 166 249 52659
0 167 250 52659
1 168 252 52928
0 169 253 52928
1 170 255 54006
0 171 256 54006
1 172 257 54134
0 173 258 54134
1 174 261 54810
0 175 262 54810
1 176 263 54818
0 177 264 54818
1 178 267 56094
0 179 268 56094
1 180 270 56299
0 181 271 56299
1 182 273 56526
0 183 274 56526
1 184 275 56560
0 185 276 56560
1 186 279 58390
0 187 280 58390
1 188 281 58481
0 189 282 58481
1 190 285 58695
0 191 286 58695
1 192 288 59089
0 193 289 59089
1 194 291 59524
0 195 292 59524
1 196 294 59742
0 197 295 59742
1 198 296 59839
0 199 297 59839
1 200 300 60783
0 201 301 60783
0 202 301 60783
